ticker,accuracy,precision,recall,f1,test_size,features,model_type,accuracy_bin
GHO-USD,0.3707865168539326,1.0,0.034482758620689655,0.06666666666666667,89,13,Ensemble,<50%
NIGHT-USD,0.5338983050847458,0.5714285714285714,0.23931623931623933,0.3373493975903614,236,13,Ensemble,50-60%
BKR,0.6173913043478261,0.7011494252873564,0.7721518987341772,0.7349397590361446,115,13,Ensemble,60-70%
APP,0.6741573033707865,0.4,0.4166666666666667,0.40816326530612246,89,13,Ensemble,60-70%
SHOP,0.864406779661017,0.8348623853211009,0.8666666666666667,0.8504672897196262,236,13,Ensemble,80-90%
LEO-USD,0.6029411764705882,0.5517241379310345,0.7619047619047619,0.64,136,13,Ensemble,60-70%
CMCSA,0.4453125,0.48148148148148145,0.37681159420289856,0.42276422764227645,128,13,Ensemble,<50%
NEXO-USD,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
VRTX,0.4603174603174603,0.5409836065573771,0.5892857142857143,0.5641025641025641,189,13,Ensemble,<50%
WLD-USD,0.29411764705882354,0.2781954887218045,1.0,0.43529411764705883,136,13,Ensemble,<50%
FTNT,0.8008474576271186,0.782258064516129,0.8290598290598291,0.8049792531120332,236,13,Ensemble,80-90%
AMZN,0.4852941176470588,0.3883495145631068,0.851063829787234,0.5333333333333333,136,13,Ensemble,<50%
CRO-USD,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
PI-USD,0.5664739884393064,0.5723270440251572,0.9285714285714286,0.708171206225681,173,13,Ensemble,50-60%
MAR,0.8813559322033898,0.896551724137931,0.8666666666666667,0.8813559322033898,236,13,Ensemble,80-90%
ADSK,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
APT-USD,0.5508021390374331,0.6875,0.12222222222222222,0.20754716981132076,187,13,Ensemble,50-60%
ISRG,0.5343915343915344,0.5104166666666666,0.5444444444444444,0.5268817204301075,189,13,Ensemble,50-60%
STX,0.9365079365079365,0.9207920792079208,0.9587628865979382,0.9393939393939394,189,13,Ensemble,90-100%
ASML,0.42857142857142855,0.5813953488372093,0.21739130434782608,0.31645569620253167,189,13,Ensemble,<50%
AVGO,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
ENA-USD,0.8325991189427313,0.7931034482758621,0.8679245283018868,0.8288288288288288,227,13,Ensemble,80-90%
TRX-USD,0.2647058823529412,0.2537313432835821,1.0,0.40476190476190477,136,13,Ensemble,<50%
TUSD-USD,0.6029411764705882,0.5517241379310345,0.7619047619047619,0.64,136,13,Ensemble,60-70%
PAXG-USD,0.864406779661017,0.9067796610169492,0.8359375,0.8699186991869918,236,13,Ensemble,80-90%
MU,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
ABNB,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
PAYX,0.8347457627118644,0.7596899224806202,0.9245283018867925,0.8340425531914893,236,13,Ensemble,80-90%
JTRSY-USD,0.45588235294117646,0.36893203883495146,0.8085106382978723,0.5066666666666667,136,13,Ensemble,<50%
SEI-USD,0.8601694915254238,0.7967479674796748,0.9245283018867925,0.8558951965065502,236,13,Ensemble,80-90%
HON,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
WDAY,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
LRCX,0.7303370786516854,0.7386363636363636,0.9848484848484849,0.8441558441558441,89,13,Ensemble,70-80%
AXON,0.47619047619047616,0.45569620253164556,0.8470588235294118,0.5925925925925926,189,13,Ensemble,<50%
USDY-USD,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
M-USD,0.5107142857142857,0.48951048951048953,0.5223880597014925,0.5054151624548736,280,13,Ensemble,50-60%
AVAX-USD,0.5294117647058824,0.5333333333333333,0.8888888888888888,0.6666666666666666,17,13,Ensemble,50-60%
STABLE-USD,0.864406779661017,0.803030303030303,0.9464285714285714,0.8688524590163934,236,13,Ensemble,80-90%
ODFL,0.4044943820224719,0.6086956521739131,0.2413793103448276,0.345679012345679,89,13,Ensemble,<50%
VET-USD,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
OUSG-USD,0.41911764705882354,0.36893203883495146,0.7307692307692307,0.49032258064516127,136,13,Ensemble,<50%
TMUS,0.8559322033898306,0.847457627118644,0.8620689655172413,0.8547008547008547,236,13,Ensemble,80-90%
XRP-USD,1.0,1.0,1.0,1.0,282,13,Ensemble,90-100%
USDC-USD,1.0,1.0,1.0,1.0,282,13,Ensemble,90-100%
XEL,0.5767195767195767,0.6911764705882353,0.44339622641509435,0.5402298850574713,189,13,Ensemble,50-60%
WBD,0.5563380281690141,0.8181818181818182,0.23376623376623376,0.36363636363636365,142,13,Ensemble,50-60%
TTWO,0.5079365079365079,0.43661971830985913,0.36904761904761907,0.4,189,13,Ensemble,50-60%
ZS,0.9523809523809523,0.9292929292929293,0.9787234042553191,0.9533678756476683,189,13,Ensemble,90-100%
